[Thu Sep 06 11:38:11.557123 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.557136 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.557145 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.557154 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.561734 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.561776 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.561789 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.561799 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.561809 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.571447 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.571478 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.571486 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.571491 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.571497 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.573500 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.573536 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.573546 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.573552 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.573557 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.575601 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.575635 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.575645 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.575652 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.575660 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.577511 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.577540 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.577547 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.577553 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.577558 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.579804 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.579833 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.579841 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.579858 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.579863 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.586967 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.587005 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.587015 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.587022 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.587029 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.589112 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.589142 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
